,ResultsFK,X,Y
223,1,44013.774305555555,13
224,1,44013.77777777778,14
225,1,44013.78125,14
226,1,44013.78472222222,11
227,1,44013.788194444445,12
228,1,44013.791666666664,15
229,1,44013.79513888889,15
230,1,44013.79861111111,12
231,1,44013.802083333336,14
232,1,44013.805555555555,13
233,1,44013.80902777778,15
234,1,44013.8125,15
235,1,44013.81597222222,15
236,1,44013.819444444445,13
237,1,44013.822916666664,13
238,1,44013.82638888889,15
239,1,44013.82986111111,15
240,1,44013.833333333336,13
241,1,44013.836805555555,12
242,1,44013.84027777778,12
243,1,44013.84375,11
244,1,44013.84722222222,13
245,1,44013.850694444445,11
246,1,44013.854166666664,9
247,1,44013.85763888889,9
248,1,44013.86111111111,9
249,1,44013.864583333336,9
250,1,44013.868055555555,7
251,1,44013.87152777778,4
252,1,44013.875,4
253,1,44013.87847222222,5
254,1,44013.881944444445,6
255,1,44013.885416666664,8
256,1,44013.88888888889,7
257,1,44013.89236111111,9
258,1,44013.895833333336,9
259,1,44013.899305555555,10
260,1,44013.90277777778,11
261,1,44013.90625,13
262,1,44013.90972222222,13
263,1,44013.913194444445,13
264,1,44013.916666666664,12
265,1,44013.92013888889,12
266,1,44013.92361111111,11
267,1,44013.927083333336,8
268,1,44013.930555555555,8
269,1,44013.93402777778,6
270,1,44013.9375,6
271,1,44013.94097222222,5
272,1,44013.944444444445,4
273,1,44013.947916666664,3
274,1,44013.95138888889,3
275,1,44013.95486111111,4
276,1,44013.958333333336,4
277,1,44013.961805555555,3
278,1,44013.96527777778,3
279,1,44013.96875,3
280,1,44013.97222222222,2
281,1,44013.975694444445,2
282,1,44013.979166666664,2
283,1,44013.98263888889,2
284,1,44013.98611111111,2
285,1,44013.989583333336,1
286,1,44013.993055555555,1
