,ResultsFK,X,Y
0,1,44013.0,0
1,1,44013.00347222222,1
2,1,44013.006944444445,1
3,1,44013.010416666664,1
4,1,44013.01388888889,1
5,1,44013.01736111111,1
6,1,44013.020833333336,2
7,1,44013.024305555555,2
8,1,44013.02777777778,2
9,1,44013.03125,2
10,1,44013.03472222222,2
11,1,44013.038194444445,3
12,1,44013.041666666664,3
13,1,44013.04513888889,2
14,1,44013.04861111111,2
15,1,44013.052083333336,2
16,1,44013.055555555555,2
17,1,44013.05902777778,2
18,1,44013.0625,2
19,1,44013.06597222222,3
20,1,44013.069444444445,3
21,1,44013.072916666664,3
22,1,44013.07638888889,3
23,1,44013.07986111111,2
24,1,44013.083333333336,2
25,1,44013.086805555555,3
26,1,44013.09027777778,3
27,1,44013.09375,3
28,1,44013.09722222222,3
29,1,44013.100694444445,3
30,1,44013.104166666664,2
31,1,44013.10763888889,1
32,1,44013.11111111111,1
33,1,44013.114583333336,1
34,1,44013.118055555555,1
35,1,44013.12152777778,1
36,1,44013.125,1
37,1,44013.12847222222,0
38,1,44013.131944444445,0
39,1,44013.135416666664,0
40,1,44013.13888888889,0
41,1,44013.14236111111,0
42,1,44013.145833333336,0
43,1,44013.149305555555,0
44,1,44013.15277777778,0
45,1,44013.15625,0
46,1,44013.15972222222,0
47,1,44013.163194444445,0
48,1,44013.166666666664,1
49,1,44013.17013888889,2
50,1,44013.17361111111,2
51,1,44013.177083333336,2
52,1,44013.180555555555,2
53,1,44013.18402777778,2
54,1,44013.1875,2
55,1,44013.19097222222,2
56,1,44013.194444444445,3
57,1,44013.197916666664,3
58,1,44013.20138888889,3
59,1,44013.20486111111,3
60,1,44013.208333333336,2
61,1,44013.211805555555,3
62,1,44013.21527777778,5
63,1,44013.21875,5
64,1,44013.22222222222,5
65,1,44013.225694444445,6
66,1,44013.229166666664,8
67,1,44013.23263888889,10
68,1,44013.23611111111,9
69,1,44013.239583333336,9
70,1,44013.243055555555,11
71,1,44013.24652777778,15
72,1,44013.25,15
73,1,44013.25347222222,16
74,1,44013.256944444445,14
75,1,44013.260416666664,14
76,1,44013.26388888889,14
77,1,44013.26736111111,13
78,1,44013.270833333336,12
79,1,44013.274305555555,10
80,1,44013.27777777778,10
81,1,44013.28125,11
82,1,44013.28472222222,9
83,1,44013.288194444445,5
84,1,44013.291666666664,5
85,1,44013.29513888889,2
86,1,44013.29861111111,2
87,1,44013.302083333336,2
88,1,44013.305555555555,2
89,1,44013.30902777778,2
90,1,44013.3125,3
91,1,44013.31597222222,3
92,1,44013.319444444445,3
93,1,44013.322916666664,2
94,1,44013.32638888889,3
95,1,44013.32986111111,4
96,1,44013.333333333336,4
97,1,44013.336805555555,4
98,1,44013.34027777778,5
99,1,44013.34375,5
100,1,44013.34722222222,6
101,1,44013.350694444445,6
102,1,44013.354166666664,6
103,1,44013.35763888889,7
104,1,44013.36111111111,7
105,1,44013.364583333336,7
106,1,44013.368055555555,8
107,1,44013.37152777778,8
108,1,44013.375,10
109,1,44013.37847222222,12
110,1,44013.381944444445,12
111,1,44013.385416666664,14
112,1,44013.38888888889,13
113,1,44013.39236111111,15
114,1,44013.395833333336,14
115,1,44013.399305555555,13
116,1,44013.40277777778,15
117,1,44013.40625,15
118,1,44013.40972222222,15
119,1,44013.413194444445,16
120,1,44013.416666666664,14
121,1,44013.42013888889,12
122,1,44013.42361111111,11
123,1,44013.427083333336,10
124,1,44013.430555555555,12
125,1,44013.43402777778,11
126,1,44013.4375,13
127,1,44013.44097222222,13
128,1,44013.444444444445,11
129,1,44013.447916666664,11
130,1,44013.45138888889,9
131,1,44013.45486111111,7
132,1,44013.458333333336,7
133,1,44013.461805555555,8
134,1,44013.46527777778,8
135,1,44013.46875,8
136,1,44013.47222222222,7
137,1,44013.475694444445,6
138,1,44013.479166666664,3
139,1,44013.48263888889,3
140,1,44013.48611111111,4
141,1,44013.489583333336,4
142,1,44013.493055555555,4
143,1,44013.49652777778,5
144,1,44013.5,6
145,1,44013.50347222222,7
146,1,44013.506944444445,8
147,1,44013.510416666664,9
148,1,44013.51388888889,8
149,1,44013.51736111111,9
150,1,44013.520833333336,11
151,1,44013.524305555555,11
152,1,44013.52777777778,11
153,1,44013.53125,12
154,1,44013.53472222222,12
155,1,44013.538194444445,12
156,1,44013.541666666664,12
157,1,44013.54513888889,12
158,1,44013.54861111111,12
159,1,44013.552083333336,11
160,1,44013.555555555555,12
161,1,44013.55902777778,13
162,1,44013.5625,12
163,1,44013.56597222222,13
164,1,44013.569444444445,12
165,1,44013.572916666664,14
166,1,44013.57638888889,17
167,1,44013.57986111111,17
168,1,44013.583333333336,20
169,1,44013.586805555555,18
170,1,44013.59027777778,17
171,1,44013.59375,17
172,1,44013.59722222222,16
173,1,44013.600694444445,15
174,1,44013.604166666664,14
175,1,44013.60763888889,13
176,1,44013.61111111111,13
177,1,44013.614583333336,10
178,1,44013.618055555555,9
179,1,44013.62152777778,9
180,1,44013.625,5
181,1,44013.62847222222,5
182,1,44013.631944444445,6
183,1,44013.635416666664,6
184,1,44013.63888888889,6
185,1,44013.64236111111,7
186,1,44013.645833333336,8
187,1,44013.649305555555,8
188,1,44013.65277777778,8
189,1,44013.65625,9
190,1,44013.65972222222,7
191,1,44013.663194444445,7
192,1,44013.666666666664,9
193,1,44013.67013888889,10
194,1,44013.67361111111,11
195,1,44013.677083333336,11
196,1,44013.680555555555,11
197,1,44013.68402777778,9
198,1,44013.6875,10
199,1,44013.69097222222,11
200,1,44013.694444444445,11
201,1,44013.697916666664,10
202,1,44013.70138888889,10
203,1,44013.70486111111,12
204,1,44013.708333333336,11
205,1,44013.711805555555,10
206,1,44013.71527777778,9
207,1,44013.71875,9
208,1,44013.72222222222,11
209,1,44013.725694444445,11
210,1,44013.729166666664,12
211,1,44013.73263888889,14
212,1,44013.73611111111,15
213,1,44013.739583333336,15
214,1,44013.743055555555,18
215,1,44013.74652777778,17
216,1,44013.75,16
217,1,44013.75347222222,17
218,1,44013.756944444445,19
219,1,44013.760416666664,18
220,1,44013.76388888889,17
221,1,44013.76736111111,17
222,1,44013.770833333336,16
