,ResultsFK,X,TransactionTime,BlockIDResourceID
82,1,0.017361111111111112,17.0,L0 Gate Lounge 1_Gate_Lounge_06
83,1,0.017361111111111112,6.0,L0 Gate Lounge 1_Gate_Lounge_03
84,1,0.017361111111111112,8.0,L0 Gate Lounge 1_Gate_Lounge_09
85,1,0.017361111111111112,11.0,L0 Gate Lounge 1_Gate_Lounge_10
86,1,0.017361111111111112,9.0,L0 Gate Lounge 1_Gate_Lounge_05
87,1,0.017361111111111112,14.0,L0 Gate Lounge 1_Gate_Lounge_02
88,1,0.017361111111111112,22.0,L0 Gate Lounge 1_Gate_Lounge_07
89,1,0.017361111111111112,21.0,L0 Gate Lounge 1_Gate_Lounge_08
90,1,0.020833333333333332,13.0,L0 Gate Lounge 1_Gate_Lounge_11
91,1,0.020833333333333332,5.0,L0 Gate Lounge 1_Gate_Lounge_01
92,1,0.020833333333333332,12.0,L0 Gate Lounge 1_Gate_Lounge_04
93,1,0.020833333333333332,9.0,L0 Gate Lounge 1_Gate_Lounge_15
94,1,0.020833333333333332,3.0,L0 Gate Lounge 1_Gate_Lounge_12
95,1,0.020833333333333332,2.0,L0 Gate Lounge 1_Gate_Lounge_13
96,1,0.020833333333333332,1.0,L0 Gate Lounge 1_Gate_Lounge_14
97,1,0.020833333333333332,13.0,L0 Gate Lounge 1_Gate_Lounge_06
98,1,0.020833333333333332,16.0,L0 Gate Lounge 1_Gate_Lounge_03
99,1,0.020833333333333332,13.0,L0 Gate Lounge 1_Gate_Lounge_09
100,1,0.020833333333333332,17.0,L0 Gate Lounge 1_Gate_Lounge_10
101,1,0.020833333333333332,13.0,L0 Gate Lounge 1_Gate_Lounge_05
102,1,0.020833333333333332,21.0,L0 Gate Lounge 1_Gate_Lounge_02
103,1,0.020833333333333332,27.0,L0 Gate Lounge 1_Gate_Lounge_07
104,1,0.020833333333333332,14.0,L0 Gate Lounge 1_Gate_Lounge_08
105,1,0.024305555555555556,11.0,L0 Gate Lounge 1_Gate_Lounge_11
106,1,0.024305555555555556,21.0,L0 Gate Lounge 1_Gate_Lounge_01
107,1,0.024305555555555556,18.0,L0 Gate Lounge 1_Gate_Lounge_04
108,1,0.024305555555555556,3.0,L0 Gate Lounge 1_Gate_Lounge_15
109,1,0.024305555555555556,3.0,L0 Gate Lounge 1_Gate_Lounge_12
110,1,0.024305555555555556,8.0,L0 Gate Lounge 1_Gate_Lounge_13
111,1,0.024305555555555556,4.0,L0 Gate Lounge 1_Gate_Lounge_14
112,1,0.024305555555555556,18.0,L0 Gate Lounge 1_Gate_Lounge_06
113,1,0.024305555555555556,13.0,L0 Gate Lounge 1_Gate_Lounge_03
114,1,0.024305555555555556,24.0,L0 Gate Lounge 1_Gate_Lounge_09
115,1,0.024305555555555556,19.0,L0 Gate Lounge 1_Gate_Lounge_10
116,1,0.024305555555555556,12.0,L0 Gate Lounge 1_Gate_Lounge_05
117,1,0.024305555555555556,22.0,L0 Gate Lounge 1_Gate_Lounge_02
118,1,0.024305555555555556,26.0,L0 Gate Lounge 1_Gate_Lounge_07
119,1,0.024305555555555556,23.0,L0 Gate Lounge 1_Gate_Lounge_08
120,1,0.027777777777777776,19.0,L0 Gate Lounge 1_Gate_Lounge_11
121,1,0.027777777777777776,40.0,L0 Gate Lounge 1_Gate_Lounge_01
122,1,0.027777777777777776,39.0,L0 Gate Lounge 1_Gate_Lounge_04
123,1,0.027777777777777776,5.0,L0 Gate Lounge 1_Gate_Lounge_15
124,1,0.027777777777777776,15.0,L0 Gate Lounge 1_Gate_Lounge_12
125,1,0.027777777777777776,13.0,L0 Gate Lounge 1_Gate_Lounge_13
126,1,0.027777777777777776,6.0,L0 Gate Lounge 1_Gate_Lounge_14
127,1,0.027777777777777776,19.0,L0 Gate Lounge 1_Gate_Lounge_06
128,1,0.027777777777777776,15.0,L0 Gate Lounge 1_Gate_Lounge_03
129,1,0.027777777777777776,17.0,L0 Gate Lounge 1_Gate_Lounge_09
130,1,0.027777777777777776,23.0,L0 Gate Lounge 1_Gate_Lounge_10
131,1,0.027777777777777776,16.0,L0 Gate Lounge 1_Gate_Lounge_05
132,1,0.027777777777777776,37.0,L0 Gate Lounge 1_Gate_Lounge_02
133,1,0.027777777777777776,27.0,L0 Gate Lounge 1_Gate_Lounge_07
