,ResultsFK,Time,SOBT
132,1,44013.51736111111,5
133,1,44013.520833333336,7
134,1,44013.524305555555,7
135,1,44013.52777777778,8
136,1,44013.53125,8
137,1,44013.53472222222,8
138,1,44013.538194444445,7
139,1,44013.541666666664,7
140,1,44013.54513888889,6
141,1,44013.54861111111,5
142,1,44013.552083333336,4
143,1,44013.555555555555,5
144,1,44013.55902777778,5
145,1,44013.5625,3
146,1,44013.56597222222,4
147,1,44013.569444444445,3
148,1,44013.572916666664,5
149,1,44013.57638888889,7
150,1,44013.57986111111,8
151,1,44013.583333333336,11
152,1,44013.586805555555,11
153,1,44013.59027777778,11
154,1,44013.59375,12
155,1,44013.59722222222,11
156,1,44013.600694444445,11
157,1,44013.604166666664,11
158,1,44013.60763888889,10
159,1,44013.61111111111,10
160,1,44013.614583333336,8
161,1,44013.618055555555,6
162,1,44013.62152777778,6
163,1,44013.625,3
164,1,44013.62847222222,3
165,1,44013.631944444445,3
166,1,44013.635416666664,3
167,1,44013.63888888889,3
168,1,44013.64236111111,3
169,1,44013.645833333336,3
170,1,44013.649305555555,3
171,1,44013.65277777778,3
172,1,44013.65625,3
173,1,44013.65972222222,3
174,1,44013.663194444445,3
175,1,44013.666666666664,4
176,1,44013.67013888889,5
177,1,44013.67361111111,6
178,1,44013.677083333336,5
179,1,44013.680555555555,5
180,1,44013.68402777778,4
181,1,44013.6875,5
182,1,44013.69097222222,6
183,1,44013.694444444445,6
184,1,44013.697916666664,6
185,1,44013.70138888889,6
186,1,44013.70486111111,5
187,1,44013.708333333336,5
188,1,44013.711805555555,4
189,1,44013.71527777778,3
190,1,44013.71875,4
191,1,44013.72222222222,4
192,1,44013.725694444445,4
193,1,44013.729166666664,4
194,1,44013.73263888889,5
195,1,44013.73611111111,6
196,1,44013.739583333336,6
197,1,44013.743055555555,6
198,1,44013.74652777778,8
199,1,44013.75,7
200,1,44013.75347222222,8
201,1,44013.756944444445,10
202,1,44013.760416666664,9
203,1,44013.76388888889,10
204,1,44013.76736111111,10
205,1,44013.770833333336,9
206,1,44013.774305555555,7
207,1,44013.77777777778,8
208,1,44013.78125,8
209,1,44013.78472222222,8
210,1,44013.788194444445,6
211,1,44013.791666666664,9
212,1,44013.79513888889,8
213,1,44013.79861111111,6
214,1,44013.802083333336,7
215,1,44013.805555555555,6
216,1,44013.80902777778,6
217,1,44013.8125,7
218,1,44013.81597222222,7
219,1,44013.819444444445,5
220,1,44013.822916666664,5
221,1,44013.82638888889,7
222,1,44013.82986111111,10
223,1,44013.833333333336,8
224,1,44013.836805555555,8
225,1,44013.84027777778,8
226,1,44013.84375,8
227,1,44013.84722222222,8
228,1,44013.850694444445,8
229,1,44013.854166666664,7
230,1,44013.85763888889,7
231,1,44013.86111111111,7
232,1,44013.864583333336,7
233,1,44013.868055555555,5
234,1,44013.87152777778,2
235,1,44013.875,1
236,1,44013.87847222222,1
237,1,44013.881944444445,1
