,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID
95,1,44013.02777777778,,,L0 Security Control 1_Common Usage_6
96,1,44013.02777777778,,,L0 Security Control 1_Common Usage_2
97,1,44013.02777777778,,,L0 Security Control 1_Common Usage_4
98,1,44013.02777777778,,,L0 Security Control 1_Common Usage_1
99,1,44013.03125,9.0,2268.0,L0 Security Control 1_Common Usage_9
100,1,44013.03125,,,L0 Security Control 1_Common Usage_7
101,1,44013.03125,,,L0 Security Control 1_Common Usage_5
102,1,44013.03125,9.0,144.0,L0 Security Control 1_Common Usage_8
103,1,44013.03125,,,L0 Security Control 1_Common Usage_3
104,1,44013.03125,,,L0 Security Control 1_Common Usage_6
105,1,44013.03125,,,L0 Security Control 1_Common Usage_2
106,1,44013.03125,,,L0 Security Control 1_Common Usage_4
107,1,44013.03125,,,L0 Security Control 1_Common Usage_1
108,1,44013.03472222222,7.0,2268.0,L0 Security Control 1_Common Usage_9
109,1,44013.03472222222,,,L0 Security Control 1_Common Usage_7
110,1,44013.03472222222,,,L0 Security Control 1_Common Usage_5
111,1,44013.03472222222,7.0,144.0,L0 Security Control 1_Common Usage_8
112,1,44013.03472222222,,,L0 Security Control 1_Common Usage_3
113,1,44013.03472222222,,,L0 Security Control 1_Common Usage_6
114,1,44013.03472222222,,,L0 Security Control 1_Common Usage_2
115,1,44013.03472222222,,,L0 Security Control 1_Common Usage_4
116,1,44013.03472222222,,,L0 Security Control 1_Common Usage_1
117,1,44013.038194444445,11.0,2268.0,L0 Security Control 1_Common Usage_9
118,1,44013.038194444445,,,L0 Security Control 1_Common Usage_7
119,1,44013.038194444445,,,L0 Security Control 1_Common Usage_5
120,1,44013.038194444445,10.0,144.0,L0 Security Control 1_Common Usage_8
121,1,44013.038194444445,,,L0 Security Control 1_Common Usage_3
122,1,44013.038194444445,,,L0 Security Control 1_Common Usage_6
123,1,44013.038194444445,,,L0 Security Control 1_Common Usage_2
124,1,44013.038194444445,,,L0 Security Control 1_Common Usage_4
125,1,44013.038194444445,,,L0 Security Control 1_Common Usage_1
126,1,44013.041666666664,11.0,2268.0,L0 Security Control 1_Common Usage_9
127,1,44013.041666666664,,,L0 Security Control 1_Common Usage_7
128,1,44013.041666666664,,,L0 Security Control 1_Common Usage_5
129,1,44013.041666666664,12.0,144.0,L0 Security Control 1_Common Usage_8
130,1,44013.041666666664,,,L0 Security Control 1_Common Usage_3
131,1,44013.041666666664,,,L0 Security Control 1_Common Usage_6
132,1,44013.041666666664,,,L0 Security Control 1_Common Usage_2
133,1,44013.041666666664,,,L0 Security Control 1_Common Usage_4
134,1,44013.041666666664,,,L0 Security Control 1_Common Usage_1
