,ResultsFK,Time,TStartWait,_ImmigrationType
173,1,44013.333333333336,0,Normal
174,1,44013.336805555555,0,Automatic
175,1,44013.336805555555,0,Normal
176,1,44013.34027777778,0,Automatic
177,1,44013.34027777778,0,Normal
178,1,44013.34375,0,Automatic
179,1,44013.34375,0,Normal
180,1,44013.34722222222,0,Automatic
181,1,44013.34722222222,0,Normal
182,1,44013.350694444445,0,Automatic
183,1,44013.350694444445,0,Normal
184,1,44013.354166666664,0,Automatic
185,1,44013.354166666664,0,Normal
186,1,44013.35763888889,0,Automatic
187,1,44013.35763888889,0,Normal
188,1,44013.36111111111,0,Automatic
189,1,44013.36111111111,0,Normal
190,1,44013.364583333336,0,Automatic
191,1,44013.364583333336,0,Normal
192,1,44013.368055555555,0,Automatic
193,1,44013.368055555555,0,Normal
194,1,44013.37152777778,0,Automatic
195,1,44013.37152777778,0,Normal
196,1,44013.375,0,Automatic
197,1,44013.375,0,Normal
198,1,44013.37847222222,0,Automatic
199,1,44013.37847222222,0,Normal
200,1,44013.381944444445,0,Automatic
201,1,44013.381944444445,0,Normal
202,1,44013.385416666664,0,Automatic
203,1,44013.385416666664,0,Normal
204,1,44013.38888888889,0,Automatic
205,1,44013.38888888889,0,Normal
206,1,44013.39236111111,0,Automatic
207,1,44013.39236111111,0,Normal
208,1,44013.395833333336,0,Automatic
209,1,44013.395833333336,0,Normal
210,1,44013.399305555555,0,Automatic
211,1,44013.399305555555,0,Normal
212,1,44013.40277777778,0,Automatic
213,1,44013.40277777778,0,Normal
214,1,44013.40625,0,Automatic
215,1,44013.40625,0,Normal
216,1,44013.40972222222,0,Automatic
217,1,44013.40972222222,0,Normal
218,1,44013.413194444445,0,Automatic
219,1,44013.413194444445,0,Normal
220,1,44013.416666666664,0,Automatic
221,1,44013.416666666664,0,Normal
222,1,44013.42013888889,0,Automatic
223,1,44013.42013888889,0,Normal
224,1,44013.42361111111,0,Automatic
225,1,44013.42361111111,0,Normal
226,1,44013.427083333336,0,Automatic
227,1,44013.427083333336,0,Normal
228,1,44013.430555555555,0,Automatic
229,1,44013.430555555555,0,Normal
230,1,44013.43402777778,0,Automatic
231,1,44013.43402777778,0,Normal
232,1,44013.4375,0,Automatic
233,1,44013.4375,0,Normal
234,1,44013.44097222222,0,Automatic
235,1,44013.44097222222,0,Normal
236,1,44013.444444444445,0,Automatic
237,1,44013.444444444445,0,Normal
238,1,44013.447916666664,0,Automatic
239,1,44013.447916666664,0,Normal
240,1,44013.45138888889,0,Automatic
241,1,44013.45138888889,0,Normal
242,1,44013.45486111111,0,Automatic
243,1,44013.45486111111,0,Normal
244,1,44013.458333333336,0,Automatic
245,1,44013.458333333336,0,Normal
246,1,44013.461805555555,0,Automatic
247,1,44013.461805555555,0,Normal
248,1,44013.46527777778,0,Automatic
249,1,44013.46527777778,0,Normal
250,1,44013.46875,0,Automatic
251,1,44013.46875,0,Normal
252,1,44013.47222222222,0,Automatic
253,1,44013.47222222222,0,Normal
254,1,44013.475694444445,0,Automatic
255,1,44013.475694444445,0,Normal
256,1,44013.479166666664,0,Automatic
257,1,44013.479166666664,0,Normal
258,1,44013.48263888889,0,Automatic
259,1,44013.48263888889,0,Normal
260,1,44013.48611111111,0,Automatic
261,1,44013.48611111111,0,Normal
262,1,44013.489583333336,0,Automatic
263,1,44013.489583333336,0,Normal
264,1,44013.493055555555,0,Automatic
265,1,44013.493055555555,0,Normal
266,1,44013.49652777778,0,Automatic
267,1,44013.49652777778,0,Normal
268,1,44013.5,0,Automatic
269,1,44013.5,0,Normal
270,1,44013.50347222222,0,Automatic
271,1,44013.50347222222,0,Normal
272,1,44013.506944444445,0,Automatic
273,1,44013.506944444445,0,Normal
274,1,44013.510416666664,0,Automatic
275,1,44013.510416666664,0,Normal
276,1,44013.51388888889,0,Automatic
277,1,44013.51388888889,0,Normal
278,1,44013.51736111111,0,Automatic
279,1,44013.51736111111,0,Normal
280,1,44013.520833333336,0,Automatic
281,1,44013.520833333336,0,Normal
282,1,44013.524305555555,0,Automatic
283,1,44013.524305555555,0,Normal
284,1,44013.52777777778,0,Automatic
285,1,44013.52777777778,0,Normal
286,1,44013.53125,23,Automatic
287,1,44013.53125,111,Normal
288,1,44013.53472222222,23,Automatic
289,1,44013.53472222222,111,Normal
290,1,44013.538194444445,23,Automatic
291,1,44013.538194444445,111,Normal
292,1,44013.541666666664,23,Automatic
293,1,44013.541666666664,111,Normal
294,1,44013.54513888889,40,Automatic
295,1,44013.54513888889,172,Normal
296,1,44013.54861111111,71,Automatic
297,1,44013.54861111111,337,Normal
298,1,44013.552083333336,71,Automatic
299,1,44013.552083333336,337,Normal
