,ResultsFK,Time,CustomColumnID_OutboundFlight_PaxCount
0,1,44013.05902777778,0
1,1,44013.0625,141
2,1,44013.06597222222,326
3,1,44013.069444444445,326
4,1,44013.072916666664,326
5,1,44013.07638888889,326
6,1,44013.07986111111,326
7,1,44013.083333333336,326
8,1,44013.086805555555,466
9,1,44013.09027777778,466
10,1,44013.09375,466
11,1,44013.09722222222,466
12,1,44013.100694444445,466
13,1,44013.104166666664,325
14,1,44013.10763888889,140
15,1,44013.11111111111,140
16,1,44013.114583333336,140
17,1,44013.118055555555,140
18,1,44013.12152777778,140
19,1,44013.125,140
20,1,44013.12847222222,0
21,1,44013.131944444445,0
22,1,44013.135416666664,0
23,1,44013.13888888889,0
24,1,44013.14236111111,0
25,1,44013.145833333336,0
26,1,44013.149305555555,0
27,1,44013.15277777778,0
28,1,44013.15625,0
29,1,44013.15972222222,0
30,1,44013.163194444445,0
31,1,44013.166666666664,165
32,1,44013.17013888889,308
33,1,44013.17361111111,308
34,1,44013.177083333336,308
35,1,44013.180555555555,308
36,1,44013.18402777778,308
37,1,44013.1875,308
38,1,44013.19097222222,308
39,1,44013.194444444445,480
40,1,44013.197916666664,480
41,1,44013.20138888889,480
42,1,44013.20486111111,480
43,1,44013.208333333336,315
44,1,44013.211805555555,507
45,1,44013.21527777778,578
46,1,44013.21875,578
47,1,44013.22222222222,578
48,1,44013.225694444445,648
49,1,44013.229166666664,834
50,1,44013.23263888889,907
51,1,44013.23611111111,735
52,1,44013.239583333336,735
53,1,44013.243055555555,893
54,1,44013.24652777778,1330
55,1,44013.25,1330
56,1,44013.25347222222,1360
57,1,44013.256944444445,1289
58,1,44013.260416666664,1289
59,1,44013.26388888889,1289
60,1,44013.26736111111,1219
61,1,44013.270833333336,1071
62,1,44013.274305555555,998
63,1,44013.27777777778,998
64,1,44013.28125,998
65,1,44013.28472222222,840
66,1,44013.288194444445,403
67,1,44013.291666666664,403
68,1,44013.29513888889,38
69,1,44013.29861111111,38
70,1,44013.302083333336,38
71,1,44013.305555555555,38
72,1,44013.30902777778,38
73,1,44013.3125,59
74,1,44013.31597222222,59
75,1,44013.319444444445,59
76,1,44013.322916666664,59
77,1,44013.32638888889,59
78,1,44013.32986111111,59
79,1,44013.333333333336,59
80,1,44013.336805555555,59
81,1,44013.34027777778,59
82,1,44013.34375,59
83,1,44013.34722222222,59
84,1,44013.350694444445,59
85,1,44013.354166666664,28
86,1,44013.35763888889,106
87,1,44013.36111111111,106
88,1,44013.364583333336,106
89,1,44013.368055555555,142
90,1,44013.37152777778,142
91,1,44013.375,361
92,1,44013.37847222222,444
93,1,44013.381944444445,444
94,1,44013.385416666664,444
95,1,44013.38888888889,444
96,1,44013.39236111111,489
97,1,44013.395833333336,461
98,1,44013.399305555555,383
99,1,44013.40277777778,383
100,1,44013.40625,383
101,1,44013.40972222222,527
102,1,44013.413194444445,653
103,1,44013.416666666664,434
104,1,44013.42013888889,351
105,1,44013.42361111111,351
106,1,44013.427083333336,458
107,1,44013.430555555555,458
108,1,44013.43402777778,484
109,1,44013.4375,786
110,1,44013.44097222222,786
111,1,44013.444444444445,786
112,1,44013.447916666664,786
113,1,44013.45138888889,606
114,1,44013.45486111111,480
115,1,44013.458333333336,480
116,1,44013.461805555555,480
117,1,44013.46527777778,480
118,1,44013.46875,373
119,1,44013.47222222222,373
120,1,44013.475694444445,302
121,1,44013.479166666664,0
122,1,44013.48263888889,0
123,1,44013.48611111111,0
124,1,44013.489583333336,0
125,1,44013.493055555555,0
126,1,44013.49652777778,86
127,1,44013.5,86
128,1,44013.50347222222,133
