,ResultsFK,Time,Time_1,FacilityStates,_ImmigrationType
124,1,44013.13888888889,0,In Use,Automatic
125,1,44013.13888888889,2,Closed,Automatic
126,1,44013.14236111111,0,In Use,Normal
127,1,44013.14236111111,0,Idle,Normal
128,1,44013.14236111111,0,Idle,Automatic
129,1,44013.14236111111,10,Closed,Normal
130,1,44013.14236111111,0,In Use,Automatic
131,1,44013.14236111111,2,Closed,Automatic
132,1,44013.145833333336,0,In Use,Normal
133,1,44013.145833333336,0,Idle,Normal
134,1,44013.145833333336,0,Idle,Automatic
135,1,44013.145833333336,10,Closed,Normal
136,1,44013.145833333336,0,In Use,Automatic
137,1,44013.145833333336,2,Closed,Automatic
138,1,44013.149305555555,0,In Use,Normal
139,1,44013.149305555555,0,Idle,Normal
140,1,44013.149305555555,0,Idle,Automatic
141,1,44013.149305555555,10,Closed,Normal
142,1,44013.149305555555,0,In Use,Automatic
143,1,44013.149305555555,2,Closed,Automatic
144,1,44013.15277777778,0,In Use,Normal
145,1,44013.15277777778,0,Idle,Normal
146,1,44013.15277777778,0,Idle,Automatic
147,1,44013.15277777778,10,Closed,Normal
148,1,44013.15277777778,0,In Use,Automatic
149,1,44013.15277777778,2,Closed,Automatic
150,1,44013.15625,0,In Use,Normal
151,1,44013.15625,0,Idle,Normal
152,1,44013.15625,0,Idle,Automatic
153,1,44013.15625,10,Closed,Normal
154,1,44013.15625,0,In Use,Automatic
155,1,44013.15625,2,Closed,Automatic
156,1,44013.15972222222,0,In Use,Normal
157,1,44013.15972222222,0,Idle,Normal
158,1,44013.15972222222,0,Idle,Automatic
159,1,44013.15972222222,10,Closed,Normal
160,1,44013.15972222222,0,In Use,Automatic
161,1,44013.15972222222,2,Closed,Automatic
162,1,44013.163194444445,0,In Use,Normal
163,1,44013.163194444445,0,Idle,Normal
164,1,44013.163194444445,0,Idle,Automatic
165,1,44013.163194444445,10,Closed,Normal
166,1,44013.163194444445,0,In Use,Automatic
