ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID,_ImmigrationType
1,44013.09722222222,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.09722222222,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.09722222222,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.09722222222,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.09722222222,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.09722222222,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.09722222222,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.09722222222,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.100694444445,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.100694444445,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.100694444445,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.100694444445,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.100694444445,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.100694444445,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.100694444445,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.100694444445,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.100694444445,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.100694444445,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.100694444445,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.100694444445,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.104166666664,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.104166666664,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.104166666664,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.104166666664,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.104166666664,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.104166666664,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.104166666664,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.104166666664,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.104166666664,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.104166666664,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.104166666664,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.104166666664,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.10763888889,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.10763888889,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.10763888889,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.10763888889,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.10763888889,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.10763888889,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.10763888889,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.10763888889,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.10763888889,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.10763888889,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.10763888889,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.10763888889,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.11111111111,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.11111111111,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.11111111111,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.11111111111,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.11111111111,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.11111111111,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.11111111111,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.11111111111,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.11111111111,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.11111111111,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.11111111111,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.11111111111,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.114583333336,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.114583333336,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.114583333336,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.114583333336,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.114583333336,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.114583333336,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.114583333336,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.114583333336,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.114583333336,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.114583333336,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.114583333336,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.114583333336,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.118055555555,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.118055555555,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.118055555555,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.118055555555,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.118055555555,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.118055555555,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.118055555555,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.118055555555,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.118055555555,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.118055555555,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.118055555555,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.118055555555,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.12152777778,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.12152777778,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.12152777778,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.12152777778,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.12152777778,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.12152777778,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.12152777778,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.12152777778,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.12152777778,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.12152777778,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.12152777778,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.12152777778,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.125,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.125,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.125,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.125,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.125,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.125,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.125,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.125,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.125,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.125,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.125,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.125,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.12847222222,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.12847222222,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.12847222222,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.12847222222,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.12847222222,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.12847222222,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.12847222222,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.12847222222,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.12847222222,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.12847222222,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.12847222222,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.12847222222,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.131944444445,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.131944444445,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.131944444445,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.131944444445,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.131944444445,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.131944444445,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.131944444445,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.131944444445,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.131944444445,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.131944444445,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.131944444445,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.131944444445,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.135416666664,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.135416666664,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.135416666664,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.135416666664,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.135416666664,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.135416666664,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.135416666664,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.135416666664,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.135416666664,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.135416666664,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.135416666664,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.135416666664,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.13888888889,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.13888888889,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.13888888889,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.13888888889,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.13888888889,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.13888888889,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.13888888889,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.13888888889,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.13888888889,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.13888888889,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.13888888889,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.13888888889,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.14236111111,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.14236111111,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.14236111111,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.14236111111,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.14236111111,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.14236111111,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.14236111111,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.14236111111,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.14236111111,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.14236111111,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.14236111111,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.14236111111,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.145833333336,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.145833333336,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.145833333336,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.145833333336,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.145833333336,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.145833333336,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.145833333336,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.145833333336,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.145833333336,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.145833333336,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.145833333336,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.145833333336,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.149305555555,,,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.149305555555,,,L0 Immigration Control 1_Normal_06,Normal
