ResultsFK,Time,TStartTransact
1,44013.37152777778,513
1,44013.375,527
1,44013.37847222222,532
1,44013.381944444445,521
1,44013.385416666664,537
1,44013.38888888889,530
1,44013.39236111111,529
1,44013.395833333336,530
1,44013.399305555555,500
1,44013.40277777778,479
1,44013.40625,448
1,44013.40972222222,404
1,44013.413194444445,362
1,44013.416666666664,321
1,44013.42013888889,288
1,44013.42361111111,273
1,44013.427083333336,242
1,44013.430555555555,224
1,44013.43402777778,208
1,44013.4375,199
1,44013.44097222222,207
1,44013.444444444445,219
1,44013.447916666664,229
1,44013.45138888889,256
1,44013.45486111111,266
1,44013.458333333336,293
1,44013.461805555555,320
1,44013.46527777778,343
1,44013.46875,370
1,44013.47222222222,381
1,44013.475694444445,405
1,44013.479166666664,425
1,44013.48263888889,439
1,44013.48611111111,447
1,44013.489583333336,463
1,44013.493055555555,471
1,44013.49652777778,479
1,44013.5,491
1,44013.50347222222,503
1,44013.506944444445,523
1,44013.510416666664,540
1,44013.51388888889,573
1,44013.51736111111,605
1,44013.520833333336,640
1,44013.524305555555,678
1,44013.52777777778,734
1,44013.53125,777
1,44013.53472222222,827
1,44013.538194444445,902
1,44013.541666666664,925
1,44013.54513888889,935
1,44013.54861111111,929
1,44013.552083333336,920
1,44013.555555555555,934
1,44013.55902777778,892
1,44013.5625,844
1,44013.56597222222,797
1,44013.569444444445,728
1,44013.572916666664,673
1,44013.57638888889,615
1,44013.57986111111,535
1,44013.583333333336,497
1,44013.586805555555,464
1,44013.59027777778,443
1,44013.59375,418
1,44013.59722222222,377
1,44013.600694444445,380
1,44013.604166666664,385
1,44013.60763888889,396
1,44013.61111111111,412
1,44013.614583333336,424
1,44013.618055555555,439
1,44013.62152777778,466
1,44013.625,479
1,44013.62847222222,499
1,44013.631944444445,499
1,44013.635416666664,503
1,44013.63888888889,497
1,44013.64236111111,481
1,44013.645833333336,481
1,44013.649305555555,483
1,44013.65277777778,478
1,44013.65625,468
1,44013.65972222222,460
1,44013.663194444445,457
1,44013.666666666664,460
1,44013.67013888889,460
1,44013.67361111111,466
1,44013.677083333336,488
1,44013.680555555555,509
1,44013.68402777778,546
1,44013.6875,571
1,44013.69097222222,582
1,44013.694444444445,610
1,44013.697916666664,647
1,44013.70138888889,685
1,44013.70486111111,708
1,44013.708333333336,727
1,44013.711805555555,740
1,44013.71527777778,776
1,44013.71875,791
1,44013.72222222222,816
1,44013.725694444445,824
1,44013.729166666664,828
1,44013.73263888889,840
1,44013.73611111111,839
1,44013.739583333336,829
1,44013.743055555555,806
1,44013.74652777778,800
1,44013.75,786
1,44013.75347222222,778
1,44013.756944444445,748
1,44013.760416666664,713
1,44013.76388888889,680
1,44013.76736111111,652
1,44013.770833333336,609
1,44013.774305555555,570
1,44013.77777777778,541
1,44013.78125,513
1,44013.78472222222,479
1,44013.788194444445,433
1,44013.791666666664,396
1,44013.79513888889,345
1,44013.79861111111,297
1,44013.802083333336,262
1,44013.805555555555,220
1,44013.80902777778,181
1,44013.8125,156
1,44013.81597222222,128
1,44013.819444444445,93
1,44013.822916666664,60
1,44013.82638888889,39
1,44013.82986111111,21
1,44013.833333333336,3
