,ResultsFK,Time,TStartTransact_TFinish
0,1,44012.993055555555,
1,1,44012.99652777778,1.0
2,1,44013.0,5.0
3,1,44013.00347222222,14.0
4,1,44013.006944444445,21.0
5,1,44013.010416666664,29.0
6,1,44013.01388888889,37.0
7,1,44013.01736111111,48.0
8,1,44013.020833333336,60.0
9,1,44013.024305555555,67.0
10,1,44013.02777777778,81.0
11,1,44013.03125,97.0
12,1,44013.03472222222,119.0
13,1,44013.038194444445,138.0
14,1,44013.041666666664,160.0
15,1,44013.04513888889,184.0
16,1,44013.04861111111,211.0
17,1,44013.052083333336,245.0
18,1,44013.055555555555,277.0
19,1,44013.05902777778,302.0
20,1,44013.0625,328.0
21,1,44013.06597222222,346.0
22,1,44013.069444444445,360.0
23,1,44013.072916666664,383.0
24,1,44013.07638888889,400.0
25,1,44013.07986111111,416.0
26,1,44013.083333333336,428.0
27,1,44013.086805555555,434.0
28,1,44013.09027777778,446.0
29,1,44013.09375,446.0
30,1,44013.09722222222,373.0
31,1,44013.100694444445,218.0
32,1,44013.104166666664,145.0
33,1,44013.10763888889,156.0
34,1,44013.11111111111,161.0
35,1,44013.114583333336,168.0
36,1,44013.118055555555,168.0
37,1,44013.12152777778,107.0
38,1,44013.125,64.0
39,1,44013.12847222222,83.0
40,1,44013.131944444445,102.0
41,1,44013.135416666664,122.0
42,1,44013.13888888889,140.0
43,1,44013.14236111111,159.0
44,1,44013.145833333336,187.0
45,1,44013.149305555555,216.0
46,1,44013.15277777778,243.0
47,1,44013.15625,273.0
48,1,44013.15972222222,306.0
49,1,44013.163194444445,341.0
50,1,44013.166666666664,375.0
51,1,44013.17013888889,410.0
52,1,44013.17361111111,457.0
53,1,44013.177083333336,505.0
54,1,44013.180555555555,557.0
55,1,44013.18402777778,617.0
56,1,44013.1875,672.0
57,1,44013.19097222222,723.0
58,1,44013.194444444445,805.0
59,1,44013.197916666664,810.0
60,1,44013.20138888889,795.0
61,1,44013.20486111111,726.0
62,1,44013.208333333336,810.0
63,1,44013.211805555555,895.0
64,1,44013.21527777778,974.0
65,1,44013.21875,1049.0
66,1,44013.22222222222,1133.0
67,1,44013.225694444445,1149.0
68,1,44013.229166666664,1152.0
69,1,44013.23263888889,1231.0
70,1,44013.23611111111,1319.0
71,1,44013.239583333336,1409.0
72,1,44013.243055555555,1410.0
73,1,44013.24652777778,1301.0
74,1,44013.25,1174.0
75,1,44013.25347222222,1226.0
76,1,44013.256944444445,1237.0
77,1,44013.260416666664,1230.0
78,1,44013.26388888889,1151.0
79,1,44013.26736111111,1037.0
80,1,44013.270833333336,1022.0
81,1,44013.274305555555,1022.0
82,1,44013.27777777778,929.0
83,1,44013.28125,650.0
84,1,44013.28472222222,440.0
85,1,44013.288194444445,260.0
86,1,44013.291666666664,89.0
87,1,44013.29513888889,94.0
88,1,44013.29861111111,97.0
89,1,44013.302083333336,97.0
90,1,44013.305555555555,85.0
91,1,44013.30902777778,73.0
92,1,44013.3125,87.0
93,1,44013.31597222222,99.0
94,1,44013.319444444445,113.0
95,1,44013.322916666664,130.0
96,1,44013.32638888889,152.0
97,1,44013.32986111111,169.0
98,1,44013.333333333336,192.0
99,1,44013.336805555555,225.0
100,1,44013.34027777778,254.0
101,1,44013.34375,256.0
102,1,44013.34722222222,252.0
103,1,44013.350694444445,288.0
104,1,44013.354166666664,316.0
105,1,44013.35763888889,345.0
106,1,44013.36111111111,379.0
107,1,44013.364583333336,404.0
108,1,44013.368055555555,426.0
109,1,44013.37152777778,463.0
110,1,44013.375,504.0
111,1,44013.37847222222,550.0
112,1,44013.381944444445,584.0
113,1,44013.385416666664,611.0
114,1,44013.38888888889,611.0
115,1,44013.39236111111,602.0
116,1,44013.395833333336,642.0
117,1,44013.399305555555,660.0
118,1,44013.40277777778,695.0
119,1,44013.40625,697.0
120,1,44013.40972222222,631.0
121,1,44013.413194444445,546.0
122,1,44013.416666666664,592.0
123,1,44013.42013888889,627.0
124,1,44013.42361111111,661.0
125,1,44013.427083333336,668.0
126,1,44013.430555555555,705.0
127,1,44013.43402777778,741.0
128,1,44013.4375,759.0
129,1,44013.44097222222,759.0
130,1,44013.444444444445,687.0
131,1,44013.447916666664,540.0
132,1,44013.45138888889,506.0
133,1,44013.45486111111,516.0
134,1,44013.458333333336,516.0
135,1,44013.461805555555,460.0
136,1,44013.46527777778,442.0
137,1,44013.46875,429.0
138,1,44013.47222222222,246.0
139,1,44013.475694444445,154.0
