ResultsFK,Time,TStartWait,_ImmigrationType
1,44013.57638888889,101,Automatic
1,44013.57638888889,465,Normal
1,44013.57986111111,101,Automatic
1,44013.57986111111,465,Normal
1,44013.583333333336,101,Automatic
1,44013.583333333336,465,Normal
1,44013.586805555555,84,Automatic
1,44013.586805555555,404,Normal
1,44013.59027777778,53,Automatic
1,44013.59027777778,239,Normal
1,44013.59375,53,Automatic
1,44013.59375,239,Normal
1,44013.59722222222,53,Automatic
1,44013.59722222222,239,Normal
1,44013.600694444445,53,Automatic
1,44013.600694444445,239,Normal
1,44013.604166666664,34,Automatic
1,44013.604166666664,148,Normal
1,44013.60763888889,34,Automatic
1,44013.60763888889,148,Normal
1,44013.61111111111,34,Automatic
1,44013.61111111111,148,Normal
1,44013.614583333336,34,Automatic
1,44013.614583333336,148,Normal
1,44013.618055555555,0,Automatic
1,44013.618055555555,0,Normal
1,44013.62152777778,0,Automatic
1,44013.62152777778,0,Normal
1,44013.625,0,Automatic
1,44013.625,0,Normal
1,44013.62847222222,0,Automatic
1,44013.62847222222,0,Normal
1,44013.631944444445,19,Automatic
1,44013.631944444445,95,Normal
1,44013.635416666664,19,Automatic
1,44013.635416666664,95,Normal
1,44013.63888888889,19,Automatic
1,44013.63888888889,95,Normal
1,44013.64236111111,19,Automatic
1,44013.64236111111,95,Normal
1,44013.645833333336,19,Automatic
1,44013.645833333336,95,Normal
1,44013.649305555555,19,Automatic
1,44013.649305555555,95,Normal
1,44013.65277777778,19,Automatic
1,44013.65277777778,95,Normal
1,44013.65625,19,Automatic
1,44013.65625,95,Normal
1,44013.65972222222,19,Automatic
1,44013.65972222222,95,Normal
1,44013.663194444445,19,Automatic
1,44013.663194444445,95,Normal
1,44013.666666666664,19,Automatic
1,44013.666666666664,95,Normal
1,44013.67013888889,19,Automatic
1,44013.67013888889,95,Normal
1,44013.67361111111,0,Automatic
1,44013.67361111111,0,Normal
1,44013.677083333336,0,Automatic
1,44013.677083333336,0,Normal
1,44013.680555555555,0,Automatic
1,44013.680555555555,0,Normal
1,44013.68402777778,0,Automatic
1,44013.68402777778,0,Normal
1,44013.6875,0,Automatic
1,44013.6875,0,Normal
1,44013.69097222222,0,Automatic
1,44013.69097222222,0,Normal
1,44013.694444444445,0,Automatic
1,44013.694444444445,0,Normal
1,44013.697916666664,0,Automatic
1,44013.697916666664,0,Normal
1,44013.70138888889,0,Automatic
1,44013.70138888889,0,Normal
1,44013.70486111111,24,Automatic
1,44013.70486111111,110,Normal
1,44013.708333333336,24,Automatic
1,44013.708333333336,110,Normal
1,44013.711805555555,24,Automatic
1,44013.711805555555,110,Normal
1,44013.71527777778,24,Automatic
1,44013.71527777778,110,Normal
1,44013.71875,24,Automatic
1,44013.71875,110,Normal
1,44013.72222222222,24,Automatic
1,44013.72222222222,110,Normal
1,44013.725694444445,24,Automatic
1,44013.725694444445,110,Normal
1,44013.729166666664,24,Automatic
1,44013.729166666664,110,Normal
1,44013.73263888889,24,Automatic
1,44013.73263888889,110,Normal
1,44013.73611111111,24,Automatic
1,44013.73611111111,110,Normal
1,44013.739583333336,24,Automatic
1,44013.739583333336,110,Normal
1,44013.743055555555,24,Automatic
1,44013.743055555555,110,Normal
1,44013.74652777778,0,Automatic
1,44013.74652777778,0,Normal
1,44013.75,0,Automatic
1,44013.75,0,Normal
1,44013.75347222222,0,Automatic
1,44013.75347222222,0,Normal
1,44013.756944444445,0,Automatic
1,44013.756944444445,0,Normal
1,44013.760416666664,0,Automatic
1,44013.760416666664,0,Normal
1,44013.76388888889,0,Automatic
1,44013.76388888889,0,Normal
1,44013.76736111111,0,Automatic
1,44013.76736111111,0,Normal
1,44013.770833333336,0,Automatic
1,44013.770833333336,0,Normal
1,44013.774305555555,0,Automatic
1,44013.774305555555,0,Normal
1,44013.77777777778,0,Automatic
1,44013.77777777778,0,Normal
1,44013.78125,0,Automatic
1,44013.78125,0,Normal
1,44013.78472222222,0,Automatic
1,44013.78472222222,0,Normal
1,44013.788194444445,12,Automatic
1,44013.788194444445,72,Normal
1,44013.791666666664,12,Automatic
1,44013.791666666664,72,Normal
1,44013.79513888889,12,Automatic
1,44013.79513888889,72,Normal
1,44013.79861111111,12,Automatic
1,44013.79861111111,72,Normal
1,44013.802083333336,12,Automatic
1,44013.802083333336,72,Normal
1,44013.805555555555,12,Automatic
1,44013.805555555555,72,Normal
1,44013.80902777778,12,Automatic
1,44013.80902777778,72,Normal
1,44013.8125,12,Automatic
1,44013.8125,72,Normal
1,44013.81597222222,12,Automatic
1,44013.81597222222,72,Normal
1,44013.819444444445,12,Automatic
1,44013.819444444445,72,Normal
1,44013.822916666664,12,Automatic
1,44013.822916666664,72,Normal
1,44013.82638888889,12,Automatic
1,44013.82638888889,72,Normal
1,44013.82986111111,0,Automatic
1,44013.82986111111,0,Normal
1,44013.833333333336,0,Automatic
1,44013.833333333336,0,Normal
1,44013.836805555555,0,Automatic
1,44013.836805555555,0,Normal
1,44013.84027777778,0,Automatic
1,44013.84027777778,0,Normal
1,44013.84375,0,Automatic
1,44013.84375,0,Normal
1,44013.84722222222,0,Automatic
1,44013.84722222222,0,Normal
1,44013.850694444445,0,Automatic
1,44013.850694444445,0,Normal
