ResultsFK,Time,TStartWait
1,44013.79861111111,223
1,44013.802083333336,186
1,44013.805555555555,154
1,44013.80902777778,124
1,44013.8125,96
1,44013.81597222222,68
1,44013.819444444445,41
1,44013.822916666664,19
1,44013.82638888889,8
1,44013.82986111111,1
