,ResultsFK,Time,Time_1,FacilityStates
179,1,44013.29861111111,8,Closed
180,1,44013.302083333336,1,In Use
181,1,44013.302083333336,8,Closed
182,1,44013.305555555555,1,In Use
183,1,44013.305555555555,8,Closed
184,1,44013.30902777778,1,In Use
185,1,44013.30902777778,8,Closed
186,1,44013.3125,1,In Use
187,1,44013.3125,8,Closed
188,1,44013.31597222222,1,In Use
189,1,44013.31597222222,8,Closed
190,1,44013.319444444445,2,In Use
191,1,44013.319444444445,7,Closed
192,1,44013.322916666664,2,In Use
193,1,44013.322916666664,7,Closed
194,1,44013.32638888889,2,In Use
195,1,44013.32638888889,7,Closed
196,1,44013.32986111111,2,In Use
197,1,44013.32986111111,7,Closed
198,1,44013.333333333336,3,In Use
199,1,44013.333333333336,6,Closed
200,1,44013.336805555555,3,In Use
201,1,44013.336805555555,6,Closed
202,1,44013.34027777778,3,In Use
203,1,44013.34027777778,6,Closed
204,1,44013.34375,3,In Use
205,1,44013.34375,6,Closed
206,1,44013.34722222222,3,In Use
207,1,44013.34722222222,6,Closed
208,1,44013.350694444445,3,In Use
209,1,44013.350694444445,6,Closed
210,1,44013.354166666664,3,In Use
211,1,44013.354166666664,6,Closed
212,1,44013.35763888889,3,In Use
213,1,44013.35763888889,6,Closed
214,1,44013.36111111111,3,In Use
215,1,44013.36111111111,6,Closed
216,1,44013.364583333336,3,In Use
217,1,44013.364583333336,6,Closed
218,1,44013.368055555555,3,In Use
219,1,44013.368055555555,6,Closed
220,1,44013.37152777778,4,In Use
221,1,44013.37152777778,5,Closed
222,1,44013.375,4,In Use
223,1,44013.375,5,Closed
224,1,44013.37847222222,4,In Use
225,1,44013.37847222222,5,Closed
226,1,44013.381944444445,4,In Use
227,1,44013.381944444445,5,Closed
228,1,44013.385416666664,4,In Use
229,1,44013.385416666664,5,Closed
230,1,44013.38888888889,4,In Use
231,1,44013.38888888889,5,Closed
232,1,44013.39236111111,4,In Use
233,1,44013.39236111111,5,Closed
234,1,44013.395833333336,4,In Use
235,1,44013.395833333336,5,Closed
236,1,44013.399305555555,5,In Use
237,1,44013.399305555555,4,Closed
238,1,44013.40277777778,5,In Use
239,1,44013.40277777778,4,Closed
240,1,44013.40625,5,In Use
241,1,44013.40625,4,Closed
242,1,44013.40972222222,5,In Use
243,1,44013.40972222222,4,Closed
244,1,44013.413194444445,5,In Use
245,1,44013.413194444445,4,Closed
246,1,44013.416666666664,5,In Use
247,1,44013.416666666664,4,Closed
248,1,44013.42013888889,4,In Use
249,1,44013.42013888889,5,Closed
250,1,44013.42361111111,4,In Use
251,1,44013.42361111111,5,Closed
252,1,44013.427083333336,4,In Use
253,1,44013.427083333336,5,Closed
254,1,44013.430555555555,4,In Use
255,1,44013.430555555555,5,Closed
256,1,44013.43402777778,4,In Use
257,1,44013.43402777778,5,Closed
258,1,44013.4375,2,In Use
259,1,44013.4375,7,Closed
260,1,44013.44097222222,2,In Use
261,1,44013.44097222222,7,Closed
262,1,44013.444444444445,2,In Use
263,1,44013.444444444445,7,Closed
264,1,44013.447916666664,2,In Use
265,1,44013.447916666664,7,Closed
266,1,44013.45138888889,2,In Use
267,1,44013.45138888889,7,Closed
268,1,44013.45486111111,2,In Use
269,1,44013.45486111111,7,Closed
270,1,44013.458333333336,2,In Use
271,1,44013.458333333336,7,Closed
272,1,44013.461805555555,2,In Use
273,1,44013.461805555555,7,Closed
274,1,44013.46527777778,2,In Use
275,1,44013.46527777778,7,Closed
276,1,44013.46875,2,In Use
277,1,44013.46875,7,Closed
278,1,44013.47222222222,2,In Use
279,1,44013.47222222222,7,Closed
280,1,44013.475694444445,3,In Use
281,1,44013.475694444445,6,Closed
282,1,44013.479166666664,3,In Use
283,1,44013.479166666664,6,Closed
284,1,44013.48263888889,3,In Use
285,1,44013.48263888889,6,Closed
286,1,44013.48611111111,3,In Use
287,1,44013.48611111111,6,Closed
288,1,44013.489583333336,3,In Use
289,1,44013.489583333336,6,Closed
290,1,44013.493055555555,3,In Use
291,1,44013.493055555555,6,Closed
292,1,44013.49652777778,4,In Use
293,1,44013.49652777778,5,Closed
294,1,44013.5,4,In Use
295,1,44013.5,5,Closed
296,1,44013.50347222222,4,In Use
297,1,44013.50347222222,5,Closed
298,1,44013.506944444445,4,In Use
299,1,44013.506944444445,5,Closed
300,1,44013.510416666664,4,In Use
301,1,44013.510416666664,5,Closed
302,1,44013.51388888889,4,In Use
303,1,44013.51388888889,5,Closed
304,1,44013.51736111111,4,In Use
305,1,44013.51736111111,5,Closed
306,1,44013.520833333336,4,In Use
307,1,44013.520833333336,5,Closed
308,1,44013.524305555555,4,In Use
309,1,44013.524305555555,5,Closed
310,1,44013.52777777778,4,In Use
311,1,44013.52777777778,5,Closed
312,1,44013.53125,4,In Use
313,1,44013.53125,5,Closed
314,1,44013.53472222222,4,In Use
315,1,44013.53472222222,5,Closed
316,1,44013.538194444445,5,In Use
317,1,44013.538194444445,4,Closed
318,1,44013.541666666664,6,In Use
319,1,44013.541666666664,3,Closed
