,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID,_ImmigrationType
82,1,44013.09375,,,L0 Immigration Control 1_Normal_07,Normal
83,1,44013.09375,,,L0 Immigration Control 1_Normal_09,Normal
84,1,44013.09722222222,,,L0 Immigration Control 1_Automatic_2,Automatic
85,1,44013.09722222222,,,L0 Immigration Control 1_Normal_06,Normal
86,1,44013.09722222222,,,L0 Immigration Control 1_Normal_10,Normal
87,1,44013.09722222222,,,L0 Immigration Control 1_Normal_05,Normal
88,1,44013.09722222222,,,L0 Immigration Control 1_Normal_08,Normal
89,1,44013.09722222222,,,L0 Immigration Control 1_Normal_04,Normal
90,1,44013.09722222222,,,L0 Immigration Control 1_Automatic_1,Automatic
91,1,44013.09722222222,,,L0 Immigration Control 1_Normal_03,Normal
92,1,44013.09722222222,,,L0 Immigration Control 1_Normal_01,Normal
93,1,44013.09722222222,,,L0 Immigration Control 1_Normal_02,Normal
94,1,44013.09722222222,,,L0 Immigration Control 1_Normal_07,Normal
95,1,44013.09722222222,,,L0 Immigration Control 1_Normal_09,Normal
96,1,44013.100694444445,,,L0 Immigration Control 1_Automatic_2,Automatic
97,1,44013.100694444445,,,L0 Immigration Control 1_Normal_06,Normal
98,1,44013.100694444445,,,L0 Immigration Control 1_Normal_10,Normal
99,1,44013.100694444445,,,L0 Immigration Control 1_Normal_05,Normal
100,1,44013.100694444445,,,L0 Immigration Control 1_Normal_08,Normal
101,1,44013.100694444445,,,L0 Immigration Control 1_Normal_04,Normal
102,1,44013.100694444445,,,L0 Immigration Control 1_Automatic_1,Automatic
103,1,44013.100694444445,,,L0 Immigration Control 1_Normal_03,Normal
104,1,44013.100694444445,,,L0 Immigration Control 1_Normal_01,Normal
105,1,44013.100694444445,,,L0 Immigration Control 1_Normal_02,Normal
106,1,44013.100694444445,,,L0 Immigration Control 1_Normal_07,Normal
107,1,44013.100694444445,,,L0 Immigration Control 1_Normal_09,Normal
108,1,44013.104166666664,,,L0 Immigration Control 1_Automatic_2,Automatic
109,1,44013.104166666664,,,L0 Immigration Control 1_Normal_06,Normal
110,1,44013.104166666664,,,L0 Immigration Control 1_Normal_10,Normal
111,1,44013.104166666664,,,L0 Immigration Control 1_Normal_05,Normal
112,1,44013.104166666664,,,L0 Immigration Control 1_Normal_08,Normal
113,1,44013.104166666664,,,L0 Immigration Control 1_Normal_04,Normal
114,1,44013.104166666664,,,L0 Immigration Control 1_Automatic_1,Automatic
115,1,44013.104166666664,,,L0 Immigration Control 1_Normal_03,Normal
116,1,44013.104166666664,,,L0 Immigration Control 1_Normal_01,Normal
117,1,44013.104166666664,,,L0 Immigration Control 1_Normal_02,Normal
118,1,44013.104166666664,,,L0 Immigration Control 1_Normal_07,Normal
119,1,44013.104166666664,,,L0 Immigration Control 1_Normal_09,Normal
120,1,44013.10763888889,,,L0 Immigration Control 1_Automatic_2,Automatic
121,1,44013.10763888889,,,L0 Immigration Control 1_Normal_06,Normal
122,1,44013.10763888889,,,L0 Immigration Control 1_Normal_10,Normal
123,1,44013.10763888889,,,L0 Immigration Control 1_Normal_05,Normal
124,1,44013.10763888889,,,L0 Immigration Control 1_Normal_08,Normal
125,1,44013.10763888889,,,L0 Immigration Control 1_Normal_04,Normal
126,1,44013.10763888889,,,L0 Immigration Control 1_Automatic_1,Automatic
127,1,44013.10763888889,,,L0 Immigration Control 1_Normal_03,Normal
128,1,44013.10763888889,,,L0 Immigration Control 1_Normal_01,Normal
129,1,44013.10763888889,,,L0 Immigration Control 1_Normal_02,Normal
130,1,44013.10763888889,,,L0 Immigration Control 1_Normal_07,Normal
131,1,44013.10763888889,,,L0 Immigration Control 1_Normal_09,Normal
132,1,44013.11111111111,,,L0 Immigration Control 1_Automatic_2,Automatic
133,1,44013.11111111111,,,L0 Immigration Control 1_Normal_06,Normal
134,1,44013.11111111111,,,L0 Immigration Control 1_Normal_10,Normal
135,1,44013.11111111111,,,L0 Immigration Control 1_Normal_05,Normal
136,1,44013.11111111111,,,L0 Immigration Control 1_Normal_08,Normal
137,1,44013.11111111111,,,L0 Immigration Control 1_Normal_04,Normal
138,1,44013.11111111111,,,L0 Immigration Control 1_Automatic_1,Automatic
139,1,44013.11111111111,,,L0 Immigration Control 1_Normal_03,Normal
140,1,44013.11111111111,,,L0 Immigration Control 1_Normal_01,Normal
141,1,44013.11111111111,,,L0 Immigration Control 1_Normal_02,Normal
142,1,44013.11111111111,,,L0 Immigration Control 1_Normal_07,Normal
143,1,44013.11111111111,,,L0 Immigration Control 1_Normal_09,Normal
144,1,44013.114583333336,,,L0 Immigration Control 1_Automatic_2,Automatic
145,1,44013.114583333336,,,L0 Immigration Control 1_Normal_06,Normal
146,1,44013.114583333336,,,L0 Immigration Control 1_Normal_10,Normal
147,1,44013.114583333336,,,L0 Immigration Control 1_Normal_05,Normal
148,1,44013.114583333336,,,L0 Immigration Control 1_Normal_08,Normal
149,1,44013.114583333336,,,L0 Immigration Control 1_Normal_04,Normal
150,1,44013.114583333336,,,L0 Immigration Control 1_Automatic_1,Automatic
151,1,44013.114583333336,,,L0 Immigration Control 1_Normal_03,Normal
152,1,44013.114583333336,,,L0 Immigration Control 1_Normal_01,Normal
153,1,44013.114583333336,,,L0 Immigration Control 1_Normal_02,Normal
154,1,44013.114583333336,,,L0 Immigration Control 1_Normal_07,Normal
155,1,44013.114583333336,,,L0 Immigration Control 1_Normal_09,Normal
156,1,44013.118055555555,,,L0 Immigration Control 1_Automatic_2,Automatic
157,1,44013.118055555555,,,L0 Immigration Control 1_Normal_06,Normal
158,1,44013.118055555555,,,L0 Immigration Control 1_Normal_10,Normal
159,1,44013.118055555555,,,L0 Immigration Control 1_Normal_05,Normal
160,1,44013.118055555555,,,L0 Immigration Control 1_Normal_08,Normal
161,1,44013.118055555555,,,L0 Immigration Control 1_Normal_04,Normal
162,1,44013.118055555555,,,L0 Immigration Control 1_Automatic_1,Automatic
163,1,44013.118055555555,,,L0 Immigration Control 1_Normal_03,Normal
164,1,44013.118055555555,,,L0 Immigration Control 1_Normal_01,Normal
165,1,44013.118055555555,,,L0 Immigration Control 1_Normal_02,Normal
166,1,44013.118055555555,,,L0 Immigration Control 1_Normal_07,Normal
