ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID
1,44013.03125,,,L0 Security Control 1_Common Usage_3
1,44013.03125,,,L0 Security Control 1_Common Usage_6
1,44013.03125,,,L0 Security Control 1_Common Usage_2
1,44013.03125,,,L0 Security Control 1_Common Usage_4
1,44013.03125,,,L0 Security Control 1_Common Usage_1
1,44013.03472222222,7.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.03472222222,,,L0 Security Control 1_Common Usage_7
1,44013.03472222222,,,L0 Security Control 1_Common Usage_5
1,44013.03472222222,7.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.03472222222,,,L0 Security Control 1_Common Usage_3
1,44013.03472222222,,,L0 Security Control 1_Common Usage_6
1,44013.03472222222,,,L0 Security Control 1_Common Usage_2
1,44013.03472222222,,,L0 Security Control 1_Common Usage_4
1,44013.03472222222,,,L0 Security Control 1_Common Usage_1
1,44013.038194444445,11.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.038194444445,,,L0 Security Control 1_Common Usage_7
1,44013.038194444445,,,L0 Security Control 1_Common Usage_5
1,44013.038194444445,10.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.038194444445,,,L0 Security Control 1_Common Usage_3
1,44013.038194444445,,,L0 Security Control 1_Common Usage_6
1,44013.038194444445,,,L0 Security Control 1_Common Usage_2
1,44013.038194444445,,,L0 Security Control 1_Common Usage_4
1,44013.038194444445,,,L0 Security Control 1_Common Usage_1
1,44013.041666666664,11.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.041666666664,,,L0 Security Control 1_Common Usage_7
1,44013.041666666664,,,L0 Security Control 1_Common Usage_5
1,44013.041666666664,12.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.041666666664,,,L0 Security Control 1_Common Usage_3
1,44013.041666666664,,,L0 Security Control 1_Common Usage_6
1,44013.041666666664,,,L0 Security Control 1_Common Usage_2
1,44013.041666666664,,,L0 Security Control 1_Common Usage_4
1,44013.041666666664,,,L0 Security Control 1_Common Usage_1
1,44013.04513888889,12.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.04513888889,12.0,44.0,L0 Security Control 1_Common Usage_7
1,44013.04513888889,,,L0 Security Control 1_Common Usage_5
1,44013.04513888889,12.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.04513888889,,,L0 Security Control 1_Common Usage_3
1,44013.04513888889,,,L0 Security Control 1_Common Usage_6
1,44013.04513888889,,,L0 Security Control 1_Common Usage_2
1,44013.04513888889,,,L0 Security Control 1_Common Usage_4
1,44013.04513888889,,,L0 Security Control 1_Common Usage_1
1,44013.04861111111,12.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.04861111111,12.0,44.0,L0 Security Control 1_Common Usage_7
1,44013.04861111111,,,L0 Security Control 1_Common Usage_5
1,44013.04861111111,11.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.04861111111,,,L0 Security Control 1_Common Usage_3
1,44013.04861111111,,,L0 Security Control 1_Common Usage_6
1,44013.04861111111,,,L0 Security Control 1_Common Usage_2
1,44013.04861111111,,,L0 Security Control 1_Common Usage_4
1,44013.04861111111,,,L0 Security Control 1_Common Usage_1
1,44013.052083333336,10.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.052083333336,11.0,44.0,L0 Security Control 1_Common Usage_7
1,44013.052083333336,,,L0 Security Control 1_Common Usage_5
1,44013.052083333336,10.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.052083333336,,,L0 Security Control 1_Common Usage_3
1,44013.052083333336,,,L0 Security Control 1_Common Usage_6
1,44013.052083333336,,,L0 Security Control 1_Common Usage_2
1,44013.052083333336,,,L0 Security Control 1_Common Usage_4
1,44013.052083333336,,,L0 Security Control 1_Common Usage_1
1,44013.055555555555,10.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.055555555555,9.0,44.0,L0 Security Control 1_Common Usage_7
1,44013.055555555555,,,L0 Security Control 1_Common Usage_5
1,44013.055555555555,9.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.055555555555,,,L0 Security Control 1_Common Usage_3
1,44013.055555555555,,,L0 Security Control 1_Common Usage_6
1,44013.055555555555,,,L0 Security Control 1_Common Usage_2
1,44013.055555555555,,,L0 Security Control 1_Common Usage_4
1,44013.055555555555,,,L0 Security Control 1_Common Usage_1
1,44013.05902777778,7.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.05902777778,4.0,,L0 Security Control 1_Common Usage_7
1,44013.05902777778,,,L0 Security Control 1_Common Usage_5
1,44013.05902777778,7.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.05902777778,,,L0 Security Control 1_Common Usage_3
1,44013.05902777778,,,L0 Security Control 1_Common Usage_6
1,44013.05902777778,,,L0 Security Control 1_Common Usage_2
1,44013.05902777778,,,L0 Security Control 1_Common Usage_4
1,44013.05902777778,,,L0 Security Control 1_Common Usage_1
1,44013.0625,7.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.0625,,,L0 Security Control 1_Common Usage_7
1,44013.0625,,,L0 Security Control 1_Common Usage_5
1,44013.0625,7.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.0625,,,L0 Security Control 1_Common Usage_3
1,44013.0625,,,L0 Security Control 1_Common Usage_6
1,44013.0625,,,L0 Security Control 1_Common Usage_2
1,44013.0625,,,L0 Security Control 1_Common Usage_4
1,44013.0625,,,L0 Security Control 1_Common Usage_1
1,44013.06597222222,6.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.06597222222,,,L0 Security Control 1_Common Usage_7
1,44013.06597222222,,,L0 Security Control 1_Common Usage_5
1,44013.06597222222,6.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.06597222222,,,L0 Security Control 1_Common Usage_3
1,44013.06597222222,,,L0 Security Control 1_Common Usage_6
1,44013.06597222222,,,L0 Security Control 1_Common Usage_2
1,44013.06597222222,,,L0 Security Control 1_Common Usage_4
1,44013.06597222222,,,L0 Security Control 1_Common Usage_1
1,44013.069444444445,7.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.069444444445,,,L0 Security Control 1_Common Usage_7
1,44013.069444444445,,,L0 Security Control 1_Common Usage_5
1,44013.069444444445,7.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.069444444445,,,L0 Security Control 1_Common Usage_3
1,44013.069444444445,,,L0 Security Control 1_Common Usage_6
1,44013.069444444445,,,L0 Security Control 1_Common Usage_2
1,44013.069444444445,,,L0 Security Control 1_Common Usage_4
1,44013.069444444445,,,L0 Security Control 1_Common Usage_1
1,44013.072916666664,6.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.072916666664,,,L0 Security Control 1_Common Usage_7
1,44013.072916666664,,,L0 Security Control 1_Common Usage_5
1,44013.072916666664,6.0,144.0,L0 Security Control 1_Common Usage_8
1,44013.072916666664,,,L0 Security Control 1_Common Usage_3
1,44013.072916666664,,,L0 Security Control 1_Common Usage_6
1,44013.072916666664,,,L0 Security Control 1_Common Usage_2
1,44013.072916666664,,,L0 Security Control 1_Common Usage_4
1,44013.072916666664,,,L0 Security Control 1_Common Usage_1
1,44013.07638888889,10.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.07638888889,,,L0 Security Control 1_Common Usage_7
1,44013.07638888889,,,L0 Security Control 1_Common Usage_5
1,44013.07638888889,4.0,,L0 Security Control 1_Common Usage_8
1,44013.07638888889,,,L0 Security Control 1_Common Usage_3
1,44013.07638888889,,,L0 Security Control 1_Common Usage_6
1,44013.07638888889,,,L0 Security Control 1_Common Usage_2
1,44013.07638888889,,,L0 Security Control 1_Common Usage_4
1,44013.07638888889,,,L0 Security Control 1_Common Usage_1
1,44013.07986111111,12.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.07986111111,,,L0 Security Control 1_Common Usage_7
1,44013.07986111111,,,L0 Security Control 1_Common Usage_5
1,44013.07986111111,,,L0 Security Control 1_Common Usage_8
1,44013.07986111111,,,L0 Security Control 1_Common Usage_3
1,44013.07986111111,,,L0 Security Control 1_Common Usage_6
1,44013.07986111111,,,L0 Security Control 1_Common Usage_2
1,44013.07986111111,,,L0 Security Control 1_Common Usage_4
1,44013.07986111111,,,L0 Security Control 1_Common Usage_1
1,44013.083333333336,12.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.083333333336,,,L0 Security Control 1_Common Usage_7
1,44013.083333333336,,,L0 Security Control 1_Common Usage_5
1,44013.083333333336,,,L0 Security Control 1_Common Usage_8
1,44013.083333333336,,,L0 Security Control 1_Common Usage_3
1,44013.083333333336,,,L0 Security Control 1_Common Usage_6
1,44013.083333333336,,,L0 Security Control 1_Common Usage_2
1,44013.083333333336,,,L0 Security Control 1_Common Usage_4
1,44013.083333333336,,,L0 Security Control 1_Common Usage_1
1,44013.086805555555,8.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.086805555555,,,L0 Security Control 1_Common Usage_7
1,44013.086805555555,,,L0 Security Control 1_Common Usage_5
1,44013.086805555555,,,L0 Security Control 1_Common Usage_8
1,44013.086805555555,,,L0 Security Control 1_Common Usage_3
1,44013.086805555555,,,L0 Security Control 1_Common Usage_6
1,44013.086805555555,,,L0 Security Control 1_Common Usage_2
1,44013.086805555555,,,L0 Security Control 1_Common Usage_4
1,44013.086805555555,,,L0 Security Control 1_Common Usage_1
1,44013.09027777778,4.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.09027777778,,,L0 Security Control 1_Common Usage_7
1,44013.09027777778,,,L0 Security Control 1_Common Usage_5
1,44013.09027777778,,,L0 Security Control 1_Common Usage_8
1,44013.09027777778,,,L0 Security Control 1_Common Usage_3
1,44013.09027777778,,,L0 Security Control 1_Common Usage_6
1,44013.09027777778,,,L0 Security Control 1_Common Usage_2
1,44013.09027777778,,,L0 Security Control 1_Common Usage_4
1,44013.09027777778,,,L0 Security Control 1_Common Usage_1
1,44013.09375,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.09375,,,L0 Security Control 1_Common Usage_7
1,44013.09375,,,L0 Security Control 1_Common Usage_5
1,44013.09375,,,L0 Security Control 1_Common Usage_8
1,44013.09375,,,L0 Security Control 1_Common Usage_3
1,44013.09375,,,L0 Security Control 1_Common Usage_6
1,44013.09375,,,L0 Security Control 1_Common Usage_2
1,44013.09375,,,L0 Security Control 1_Common Usage_4
1,44013.09375,,,L0 Security Control 1_Common Usage_1
1,44013.09722222222,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.09722222222,,,L0 Security Control 1_Common Usage_7
1,44013.09722222222,,,L0 Security Control 1_Common Usage_5
