ResultsFK,Time,CustomColumnID_InboundFlight_PaxCount
1,44013.00347222222,176
1,44013.006944444445,176
1,44013.010416666664,176
1,44013.01388888889,176
1,44013.01736111111,176
1,44013.020833333336,362
1,44013.024305555555,362
1,44013.02777777778,362
1,44013.03125,362
1,44013.03472222222,362
1,44013.038194444445,455
1,44013.041666666664,455
1,44013.04513888889,279
1,44013.04861111111,279
1,44013.052083333336,279
1,44013.055555555555,279
1,44013.05902777778,279
1,44013.0625,93
1,44013.06597222222,93
1,44013.069444444445,93
1,44013.072916666664,93
1,44013.07638888889,93
1,44013.07986111111,0
1,44013.083333333336,0
1,44013.086805555555,0
1,44013.09027777778,0
1,44013.09375,0
1,44013.09722222222,0
1,44013.100694444445,0
1,44013.104166666664,0
1,44013.10763888889,0
1,44013.11111111111,0
1,44013.114583333336,0
1,44013.118055555555,0
1,44013.12152777778,0
1,44013.125,0
1,44013.12847222222,0
1,44013.131944444445,0
1,44013.135416666664,0
1,44013.13888888889,0
1,44013.14236111111,0
1,44013.145833333336,0
1,44013.149305555555,0
1,44013.15277777778,0
1,44013.15625,0
1,44013.15972222222,0
1,44013.163194444445,0
1,44013.166666666664,0
1,44013.17013888889,0
1,44013.17361111111,0
1,44013.177083333336,0
1,44013.180555555555,0
1,44013.18402777778,0
1,44013.1875,0
1,44013.19097222222,0
1,44013.194444444445,0
1,44013.197916666664,0
1,44013.20138888889,0
1,44013.20486111111,0
1,44013.208333333336,0
1,44013.211805555555,0
1,44013.21527777778,158
1,44013.21875,158
1,44013.22222222222,158
1,44013.225694444445,158
1,44013.229166666664,158
1,44013.23263888889,158
1,44013.23611111111,158
1,44013.239583333336,158
1,44013.243055555555,158
1,44013.24652777778,158
1,44013.25,158
1,44013.25347222222,158
1,44013.256944444445,0
1,44013.260416666664,0
1,44013.26388888889,0
1,44013.26736111111,0
1,44013.270833333336,0
1,44013.274305555555,0
1,44013.27777777778,0
1,44013.28125,62
1,44013.28472222222,62
1,44013.288194444445,62
1,44013.291666666664,62
1,44013.29513888889,62
1,44013.29861111111,62
1,44013.302083333336,62
1,44013.305555555555,62
1,44013.30902777778,62
1,44013.3125,149
1,44013.31597222222,149
1,44013.319444444445,149
1,44013.322916666664,87
1,44013.32638888889,116
1,44013.32986111111,173
1,44013.333333333336,173
1,44013.336805555555,173
1,44013.34027777778,200
1,44013.34375,200
1,44013.34722222222,234
1,44013.350694444445,234
1,44013.354166666664,242
1,44013.35763888889,242
1,44013.36111111111,242
1,44013.364583333336,242
1,44013.368055555555,254
1,44013.37152777778,238
1,44013.375,238
1,44013.37847222222,375
1,44013.381944444445,460
1,44013.385416666664,673
1,44013.38888888889,639
1,44013.39236111111,784
1,44013.395833333336,767
1,44013.399305555555,767
1,44013.40277777778,940
1,44013.40625,940
1,44013.40972222222,899
1,44013.413194444445,876
1,44013.416666666664,876
1,44013.42013888889,739
1,44013.42361111111,627
1,44013.427083333336,414
1,44013.430555555555,576
1,44013.43402777778,431
1,44013.4375,353
1,44013.44097222222,353
1,44013.444444444445,180
1,44013.447916666664,180
1,44013.45138888889,180
1,44013.45486111111,162
1,44013.458333333336,162
1,44013.461805555555,329
1,44013.46527777778,329
1,44013.46875,368
1,44013.47222222222,277
1,44013.475694444445,277
1,44013.479166666664,277
1,44013.48263888889,277
1,44013.48611111111,406
1,44013.489583333336,406
1,44013.493055555555,406
1,44013.49652777778,406
1,44013.5,472
1,44013.50347222222,405
1,44013.506944444445,405
1,44013.510416666664,436
1,44013.51388888889,365
1,44013.51736111111,365
1,44013.520833333336,365
1,44013.524305555555,365
1,44013.52777777778,236
1,44013.53125,370
1,44013.53472222222,370
1,44013.538194444445,414
1,44013.541666666664,420
1,44013.54513888889,489
1,44013.54861111111,665
1,44013.552083333336,639
1,44013.555555555555,639
